epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3907,2.5283,25.9986,4.30438,0.00437,0.26761,0.00947,0.00244,2.2849,28.617,4.37754,0.071029,2.9e-05,2.9e-05
2,20.1864,2.16618,22.8208,3.77068,0.00529,0.32394,0.10516,0.02508,2.05462,30.1299,3.83269,0.041059,5.89854e-05,5.89854e-05
3,26.8707,2.04028,22.1559,3.46717,0.19101,0.22887,0.1376,0.0354,2.05544,29.1064,3.7716,0.0110889,8.89122e-05,8.89122e-05
4,32.678,2.08025,21.3398,3.56327,0.74435,0.22886,0.17651,0.05148,2.08207,26.4658,3.73421,9.97781e-05,9.97781e-05,9.97781e-05
5,39.1504,2.03502,20.4937,3.43882,0.74423,0.24296,0.20624,0.06921,2.09917,24.2112,3.67513,9.96057e-05,9.96057e-05,9.96057e-05
6,44.5525,2.0694,21.6021,3.49419,0.74323,0.25016,0.2116,0.07055,2.09946,24.1141,3.68266,9.93844e-05,9.93844e-05,9.93844e-05
7,51.3618,2.07422,20.7624,3.52003,0.7575,0.24648,0.23609,0.08037,2.13187,23.0204,3.71511,9.91144e-05,9.91144e-05,9.91144e-05
8,56.8376,2.06174,19.8189,3.50156,0.74658,0.27751,0.23853,0.0776,2.17201,22.4168,3.79193,9.87959e-05,9.87959e-05,9.87959e-05
9,63.57,2.03253,19.9309,3.45098,0.7808,0.26408,0.26614,0.08937,2.16855,22.1842,3.75238,9.84292e-05,9.84292e-05,9.84292e-05
10,69.266,1.96945,19.4711,3.48559,0.81177,0.26408,0.30478,0.10589,2.12718,21.7157,3.64577,9.80147e-05,9.80147e-05,9.80147e-05
11,76.4112,2.03644,19.2512,3.44331,0.83096,0.27465,0.32863,0.12278,2.09332,21.2138,3.55441,9.75529e-05,9.75529e-05,9.75529e-05
12,82.0053,1.94941,19.5302,3.33284,0.32191,0.30634,0.34429,0.12011,2.12432,21.0292,3.5752,9.70441e-05,9.70441e-05,9.70441e-05
13,88.2551,1.96225,19.2396,3.35365,0.28949,0.4912,0.35404,0.12298,2.13884,21.0845,3.59697,9.64889e-05,9.64889e-05,9.64889e-05
14,93.8468,1.98716,18.8533,3.43158,0.29922,0.48768,0.36014,0.12419,2.13778,20.9161,3.61685,9.58878e-05,9.58878e-05,9.58878e-05
15,99.8904,2.0325,17.9945,3.36047,0.34865,0.46303,0.36199,0.12283,2.15697,20.5587,3.64215,9.52414e-05,9.52414e-05,9.52414e-05
16,106.049,1.89972,18.298,3.29175,0.3831,0.44507,0.37852,0.12316,2.15174,20.5509,3.65339,9.45504e-05,9.45504e-05,9.45504e-05
17,111.841,1.93583,18.3168,3.3235,0.39184,0.42401,0.37245,0.12101,2.15329,20.2723,3.63767,9.38154e-05,9.38154e-05,9.38154e-05
18,118.535,1.93411,17.7938,3.30492,0.3914,0.41616,0.34815,0.11159,2.17458,20.4937,3.68856,9.30372e-05,9.30372e-05,9.30372e-05
19,124.185,1.89061,17.5257,3.28359,0.36734,0.43486,0.35702,0.10633,2.15939,20.9008,3.71866,9.22165e-05,9.22165e-05,9.22165e-05
20,130.604,1.88656,17.8968,3.28661,0.38291,0.42782,0.3616,0.10649,2.13963,21.2329,3.72941,9.13541e-05,9.13541e-05,9.13541e-05
21,136.033,1.87384,17.5521,3.28211,0.4092,0.42556,0.36459,0.10834,2.09898,21.1221,3.69397,9.04509e-05,9.04509e-05,9.04509e-05
22,142.61,1.85664,16.9781,3.19447,0.39914,0.42782,0.34516,0.1069,2.07778,21.0141,3.66588,8.95079e-05,8.95079e-05,8.95079e-05
23,148.088,1.87128,17.8513,3.28879,0.40617,0.44759,0.386,0.12812,2.02702,20.3408,3.57795,8.85258e-05,8.85258e-05,8.85258e-05
24,154.877,1.88864,17.1198,3.2799,0.41045,0.45689,0.40402,0.14378,1.98885,19.5423,3.50676,8.75057e-05,8.75057e-05,8.75057e-05
25,160.314,1.83633,16.5598,3.1525,0.44537,0.45566,0.42011,0.15637,1.9734,19.3587,3.48245,8.64486e-05,8.64486e-05,8.64486e-05
26,167.157,1.85727,15.9759,3.16991,0.46803,0.43761,0.42705,0.15264,1.97607,19.507,3.52019,8.53555e-05,8.53555e-05,8.53555e-05
27,172.796,1.82103,16.7583,3.15343,0.49444,0.42042,0.43588,0.15674,1.98174,19.7342,3.5507,8.42275e-05,8.42275e-05,8.42275e-05
28,179.693,1.8616,17.0242,3.17043,0.52836,0.4169,0.44905,0.1581,2.00309,19.9317,3.5848,8.30658e-05,8.30658e-05,8.30658e-05
